SNP	Gene
rs467442	Gene_3
rs657122	Gene_3
rs869720	Gene_4
rs111546	Gene_4
rs902453	Gene_3
rs651810	Gene_1
rs679512	Gene_4
rs601084	Gene_1
rs859372	Gene_2
rs873041	Gene_1
rs523523	Gene_4
rs023502	Gene_3
rs013720	Gene_2
rs789349	Gene_4
rs540465	Gene_3
rs693822	Gene_3
rs483698	Gene_1
rs265436	Gene_4
rs817723	Gene_2
rs710834	Gene_1
rs677636	Gene_2
rs045071	Gene_3
rs081827	Gene_3
rs776914	Gene_2
rs683489	Gene_3
rs115265	Gene_4
rs304539	Gene_4
rs350111	Gene_3
rs845434	Gene_3
rs247716	Gene_3
rs970602	Gene_4
rs975021	Gene_2
rs711571	Gene_3
rs556112	Gene_1
rs342947	Gene_2
rs620579	Gene_2
rs707881	Gene_4
rs711504	Gene_2
rs262589	Gene_2
rs732255	Gene_4
rs568502	Gene_3
rs269238	Gene_1
rs257422	Gene_2
rs274103	Gene_3
rs460053	Gene_1
rs254030	Gene_1
rs943580	Gene_3
rs090634	Gene_4
rs014342	Gene_2
rs907292	Gene_3
